Name,Holiday Date,Holiday Type,Working Day?
Republic Day,2026-01-26,National Public Holiday,No
Holi,2026-03-04,National Public Holiday,No
Id-ul-Fitr,2026-03-21,National Public Holiday,No
Ram Navami,2026-03-26,National Public Holiday,No
Mahavir Jayanti,2026-03-31,National Public Holiday,No
Good Friday,2026-04-03,National Public Holiday,No
Buddha Purnima,2026-05-01,National Public Holiday,No
Id-ul-Zuha (Bakrid),2026-05-27,National Public Holiday,No
Muharram,2026-06-26,National Public Holiday,No
Independence Day,2026-08-15,National Public Holiday,No
Milad-un-Nabi (Id-e-Milad),2026-08-26,National Public Holiday,No
Janmashtami,2026-09-04,National Public Holiday,No
Mahatma Gandhi Jayanti,2026-10-02,National Public Holiday,No
Dussehra,2026-10-20,National Public Holiday,No
Diwali (Deepavali),2026-11-08,National Public Holiday,No
Guru Nanak Jayanti,2026-11-24,National Public Holiday,No
Christmas Day,2026-12-25,National Public Holiday,No
